country_code,country_name,flag_path,anthem_music_path,anthem_text_path,anthem_keywords
cu,Cuba,flag_images\cu.jpg,anthems_music\cu.mp3,anthems_text\cu.txt,"[('live', 5), ('hasten', 3), ('battle', 3), ('chains', 2), ('dishonour', 2), ('ignominy', 2), ('hear', 2), ('clarion', 2), ('call', 2), ('braves', 2)]"
kp,"Korea, Democratic People's Republic of",flag_images\kp.jpg,anthems_music\kp.mp3,anthems_text\kp.txt,"[('let', 3), ('people', 2), ('us', 2), ('korea', 2), ('ever', 2), ('morning', 1), ('shine', 1), ('silver', 1), ('gold', 1), ('land', 1)]"
om,Oman,flag_images\om.jpg,anthems_music\om.mp3,anthems_text\om.txt,"[('people', 2), ('may', 2), ('live', 2), ('long', 2), ('strong', 2), ('supported', 2), ('glorified', 2), ('leadership', 2), ('shall', 2), ('lay', 2)]"
af,Afghanistan,flag_images\af.jpg,anthems_music\af.mp3,anthems_text\af.txt,"[('land', 5), ('say', 3), ('allah', 3), ('great', 3), ('every', 2), ('ever', 2), ('afghanistan', 1), ('pride', 1), ('afghan', 1), ('peace', 1)]"
so,Somalia,flag_images\so.jpg,anthems_music\so.mp3,anthems_text\so.txt,"[('flag', 3), ('oh', 3), ('star', 3), ('every', 2), ('nation', 2), ('like', 2), ('white', 2), ('service', 2), ('day', 2), ('arose', 2)]"
sg,Singapore,flag_images\sg.jpg,anthems_music\sg.mp3,anthems_text\sg.txt,"[('let', 5), ('singapore', 5), ('onward', 4), ('come', 3), ('us', 3), ('unite', 2), ('new', 2), ('spirit', 2), ('voices', 2), ('soar', 2)]"
tj,Tajikistan,flag_images\tj.jpg,anthems_music\tj.mp3,anthems_text\tj.txt,"[('happiness', 2), ('forever', 2), ('world', 2), ('us', 2), ('future', 2), ('meaning', 2), ('beloved', 1), ('country', 1), ('happy', 1), ('see', 1)]"
im,Isle of Man,flag_images\im.jpg,anthems_music\im.mp3,anthems_text\im.txt,"[('us', 3), ('land', 2), ('island', 2), ('thy', 2), ('rule', 2), ('peace', 2), ('like', 2), ('sea', 2), ('heart', 2), ('let', 2)]"
lb,Lebanon,flag_images\lb.jpg,anthems_music\lb.mp3,anthems_text\lb.txt,"[('us', 7), ('country', 7), ('glory', 5), ('flag', 4), ('east', 2), ('time', 2), ('pole', 2), ('valour', 1), ('writings', 1), ('envy', 1)]"
sz,Kingdom of Eswatini,flag_images\sz.jpg,anthems_music\sz.mp3,anthems_text\sz.txt,"[('lord', 2), ('blessings', 2), ('thee', 2), ('thanks', 2), ('us', 2), ('god', 1), ('bestower', 1), ('swazi', 1), ('give', 1), ('good', 1)]"
ht,Haiti,flag_images\ht.jpg,anthems_music\ht.mp3,anthems_text\ht.txt,"[('let', 23), ('us', 23), ('country', 14), ('march', 7), ('toil', 7), ('train', 7), ('oh', 7), ('god', 7), ('forefathers', 6), ('forebears', 6)]"
va,Holy See (Vatican City State),flag_images\va.jpg,anthems_music\va.mp3,anthems_text\va.txt,"[('rome', 6), ('fortunate', 5), ('christ', 5), ('pontiff', 5), ('noble', 4), ('peter', 4), ('earth', 3), ('see', 2), ('teacher', 2), ('confirms', 2)]"
mu,Mauritius,flag_images\mu.jpg,anthems_music\mu.mp3,anthems_text\mu.txt,"[('thee', 3), ('motherland', 2), ('sweet', 2), ('thy', 2), ('one', 2), ('ever', 2), ('glory', 1), ('mine', 1), ('beauty', 1), ('fragrance', 1)]"
ws,Samoa,flag_images\ws.jpg,anthems_music\ws.mp3,anthems_text\ws.txt,"[('samoa', 4), ('banner', 4), ('arise', 3), ('crown', 3), ('raise', 2), ('oh', 1), ('see', 1), ('behold', 1), ('stars', 1), ('waving', 1)]"
sc,Seychelles,flag_images\sc.jpg,anthems_music\sc.mp3,anthems_text\sc.txt,"[('let', 2), ('us', 2), ('seychelles', 1), ('homeland', 1), ('live', 1), ('harmony', 1), ('joy', 1), ('love', 1), ('peace', 1), ('thank', 1)]"
kw,Kuwait,flag_images\kw.jpg,anthems_music\kw.mp3,anthems_text\kw.txt,"[('kuwait', 6), ('face', 3), ('bright', 3), ('country', 2), ('peace', 1), ('live', 1), ('dignity', 1), ('majesty', 1)]"
